AAPL
ADBE
ALAB
AMD
AMZN
APP
ASML
BKNG
CAVA
CIEN
CINF
CMI
COST
CPRT
CRM
DECK
DUOL
EFX
EG
FOX
GEV
GOOG
HIG
IMAX
INTU
KEYS
LULU
MA
MCO
MELI
META
MSFT
MU
NBIS
NFLX
NKE
NVDA
PDD
RDDT
ROL
SPGI
TER
TQQQ
TXRH
UBER
UHS
WDC
